Area Code,Total,Veteran,Male,Female,Nonveteran,Male,Female
63034,44329,55357,52097,61389,42056,50261,39754
63037,29308,38333,37917,,28171,33250,25119
63038,64375,,,,59984,102842,29583
63039,39609,,,,42875,44333,37019
63040,56269,85750,96944,,55310,80013,36156
63041,54167,,,,53611,58194,40938
63042,32612,39180,43011,,32077,33878,29836
63043,48359,48294,47790,54667,48383,63764,38670
63044,38853,45221,44613,,38416,42696,33908
63045,,,,,,,
63047,,,,,,,
63048,38818,38542,38542,,38848,50347,32936
63049,42180,46579,46595,,41445,49032,34979
63050,38842,45833,47083,,37853,55895,28573
63051,36723,45694,46354,40341,35267,48558,29490
63052,44802,55128,54747,73804,43137,51537,34475
63053,38750,,,,38750,37500,
63055,40951,,,,41810,51027,28857
63056,34724,,,,35053,46842,32705
63060,28500,35801,35948,,24577,35665,18986
63061,57212,,,,59583,59167,
63068,37390,39342,34167,,37210,49974,26346
63069,38995,49778,49167,63071,38176,46073,29815
63070,34837,44730,44786,,32426,48625,22283
63072,39923,43300,43107,,39392,54385,35469
63073,117781,138594,138594,,105573,219816,68182
63074,31711,42105,42303,,31316,36863,29640
63077,33735,44335,43770,,31409,39277,25235
63079,59000,,,,58875,56250,58875
63080,35301,32956,33088,,35975,50630,27811
63084,36483,44045,44216,,35199,41550,27780
63087,32745,,,,33986,39219,25179
63088,40716,61681,62241,,39988,45974,31996
63089,35852,46829,46921,,33904,50192,25110
63090,41533,54950,60536,41538,40852,49446,34246
63091,38636,41250,52500,,38598,66964,26111
63101,54956,,79542,,56471,65764,51932
63102,40458,34211,,,41313,46346,40569
63103,29343,,,,29419,32470,22393
63104,46766,54313,65586,46645,46577,52982,42732
63105,52339,111396,111456,,50651,67903,42368
63106,21337,23042,23917,,21281,21417,21050
63107,20232,44750,46250,,19335,19391,19298
63108,42869,43947,43783,,42755,51727,33275
63109,47324,48937,48982,,47007,55596,41660
63110,48147,39315,57500,6343,48498,56919,44033
63111,27007,31417,33190,,26698,29441,24084
63112,28713,38664,32596,49000,28492,32283,27822
63113,21781,23526,23045,,21662,24840,20085
63114,32568,33719,32813,49514,32536,34633,29088
63115,20896,31477,25455,73711,20255,18387,24453
63116,38512,35385,35096,,38681,44736,34861
63117,57753,36705,50213,,58479,65825,53067
63118,34961,28525,28425,41000,35562,39978,31515
63119,57448,63003,63505,57857,57231,72010,44128
63120,24314,25294,29219,23333,24058,25714,23877
63121,27838,29921,28889,,27671,29473,27014
63122,62271,62756,63090,,62220,89729,49227
63123,39744,42463,42135,75124,39365,47953,33779
63124,88148,75197,75197,,90188,157256,51949
63125,35471,36259,36356,,35138,45080,28516
63126,52944,46513,46368,,53726,65491,45000
63127,60980,83929,82679,,60098,97283,37406
63128,46788,58788,61406,55700,45697,58494,40364
63129,46216,49861,53650,41202,45955,58208,36445
63130,46338,34728,30750,82222,47170,59369,37339
63131,91031,102159,106458,101484,89607,139280,55254
63132,42275,45694,45694,,42245,58984,38618
63133,22644,19236,19931,,22858,25224,21638
63134,28768,35230,34271,47986,28360,29833,25836
63135,33776,45588,47059,41719,33590,32808,34484
63136,25840,32271,32271,,25441,28147,24336
63137,28100,33386,33410,,27377,29825,26813
63138,28572,52143,63235,48026,27178,30782,25200
63139,48215,49643,50128,30875,48147,51280,46116
63140,22679,,,,22361,23750,21406
63141,62577,76384,76652,,60248,90706,40991
63143,44042,31556,31223,,44640,50451,43651
63144,59930,67500,53958,,59777,69313,47118
63146,51956,59645,59630,,50977,61790,43452
63147,25422,32727,31429,,25189,25453,25069
63155,,,,,,,
63301,41875,52167,52036,57031,41231,49346,34912
63303,51607,64926,66493,35694,51091,63637,41840
63304,52276,63493,64743,36250,50895,61839,40805
63332,49375,76146,75938,,46681,80321,27292
63333,29732,68533,68098,,24063,46731,17500
63334,29774,22019,,,29992,33977,28488
63341,69007,48024,48024,,71298,97848,49886
63343,29910,28375,28563,,30174,39458,26694
63344,41923,44583,44583,,39353,67742,27443
63347,37043,50476,50476,,34441,55357,23773
63348,44977,50536,51488,,44242,66875,35597
63349,31853,24406,24406,,33080,49625,23318
63351,37901,27344,36161,12083,38316,45350,29444
63357,39763,39792,39943,,39755,44375,34831
63359,40096,27868,28162,,41603,52614,26364
63362,43974,45417,47083,,43919,53158,32266
63363,31484,36806,36771,,29236,39600,25318
63365,31250,,,,29821,,
63366,45916,53938,55854,,45364,55507,37543
63367,56312,66121,65884,81250,55338,75417,43170
63368,56242,73382,73934,46719,55851,69440,42830
63369,45471,83048,83048,,42689,65128,27063
63373,34413,28750,35625,,34489,34763,32500
63376,46066,56000,58604,46042,45482,55199,37216
63377,32652,20625,20208,,33174,41987,22736
63379,40276,42147,42500,,40018,54719,32288
63380,28654,53750,60333,,26875,35208,25741
63381,49688,75227,75227,,,,40893
63383,33410,34193,34214,,32590,46014,25560
63385,52006,61700,61763,,50703,68113,37467
63386,41389,,,,41800,60625,35938
63387,34792,,,,37750,43750,33125
63389,42765,53000,53000,,42272,49276,33326
63390,33982,45167,38516,66646,33491,44640,24832
63627,39764,,,,39811,60863,31250
63628,24861,28790,30278,,24395,24944,24020
65041,32717,47321,47321,,31806,38052,28015
65441,33597,29784,30707,,34198,42206,24459
