city,state_id,state_name,county_name,lat,lng,population,density,zips
Pala,CA,California,San Diego,33.3639,-117.0675,988,68.4,92059
Dresser,WI,Wisconsin,Polk,45.3616,-92.6344,988,201.3,54009
Pickett,OK,Oklahoma,Pontotoc,34.7795,-96.7755,988,118.1,74820
Hackberry,LA,Louisiana,Cameron,29.9717,-93.3947,988,13.6,70645
Amherst,WI,Wisconsin,Portage,44.4475,-89.2832,988,297.9,54406
Southwest City,MO,Missouri,McDonald,36.5205,-94.6103,988,260.7,64863
Daguao,PR,Puerto Rico,Naguabo,18.2217,-65.6798,988,672.3,718
Ansonia,OH,Ohio,Darke,40.2141,-84.6344,988,589.2,45303
Ohatchee,AL,Alabama,Calhoun,33.7877,-86.0281,988,64.9,36271
Woodward,IA,Iowa,Dallas,41.8528,-93.9207,987,104.3,50276
Garrison,TX,Texas,Nacogdoches,31.8252,-94.4932,987,324.6,75946
Ames,TX,Texas,Liberty,30.0451,-94.7373,987,115.4,77575
Taft Mosswood,CA,California,San Joaquin,37.9139,-121.2831,987,818.7,95206
Pughtown,PA,Pennsylvania,Chester,40.1699,-75.6599,987,852.5,19465 19475
Knights Landing,CA,California,Yolo,38.798,-121.7175,987,705.3,95645 95695
Loma Linda,MO,Missouri,Newton,36.9858,-94.5922,986,107,64804
St. Paul,TX,Texas,Collin,33.0437,-96.5504,986,265.4,75098
Rockford,OH,Ohio,Mercer,40.6912,-84.6497,986,440.4,45882
Prentiss,MS,Mississippi,Jefferson Davis,31.5995,-89.8746,985,127.2,39474
Housatonic,MA,Massachusetts,Berkshire,42.2487,-73.3626,985,426.7,01236 01230
Guernsey,WY,Wyoming,Platte,42.2656,-104.743,985,372.2,82214 82201
Coffeeville,MS,Mississippi,Yalobusha,33.9764,-89.6845,984,177.2,38922
Las Ollas,PR,Puerto Rico,Santa Isabel,18.0142,-66.4207,984,1863,757
Roslyn Harbor,NY,New York,Nassau,40.8158,-73.6379,984,319.1,11576
Cañoncito,NM,New Mexico,Santa Fe,35.5388,-105.8391,984,38.3,87505 87508
Rapids City,IL,Illinois,Rock Island,41.5786,-90.3399,984,233.6,61278
Fall Branch,TN,Tennessee,Washington,36.4161,-82.6242,984,84.1,37656
Beasley,TX,Texas,Fort Bend,29.4952,-95.9154,984,357.7,77417
Roan Mountain,TN,Tennessee,Carter,36.1866,-82.0706,984,57.3,37687
Orleans,VT,Vermont,Orleans,44.809,-72.2011,983,429.5,5860
Berry,AL,Alabama,Fayette,33.6623,-87.6079,983,35.3,35546
Despard,WV,West Virginia,Harrison,39.2874,-80.3158,983,259,26301
Underwood,IA,Iowa,Pottawattamie,41.3807,-95.6821,983,348.5,51576
Drexel,MO,Missouri,Cass,38.5005,-94.6025,983,139.2,64742
Belmont,WI,Wisconsin,Lafayette,42.7379,-90.3346,983,445.5,53510
Foots Creek,OR,Oregon,Jackson,42.3845,-123.1408,983,62.5,97525
Story,WY,Wyoming,Sheridan,44.5731,-106.9142,983,53.2,82832 82842
Frontón,PR,Puerto Rico,Ciales,18.3097,-66.5603,983,137.4,638
Cave Spring,GA,Georgia,Floyd,34.1081,-85.3388,982,103.4,30124
Baileyton,AL,Alabama,Cullman,34.2609,-86.6083,982,72.1,35019
Diamond,MO,Missouri,Newton,36.9969,-94.3152,982,507.9,64840
Eagleville,TN,Tennessee,Rutherford,35.7391,-86.6528,982,131.4,37060
Clendenin,WV,West Virginia,Kanawha,38.4859,-81.3503,982,263,25045
Blue Ridge,TX,Texas,Collin,33.2978,-96.3978,982,340.1,75424
Sandoval,IL,Illinois,Marion,38.6121,-89.1193,982,380.8,62882
Higginson,AR,Arkansas,White,35.1968,-91.7152,981,298.3,72143 72068
