City,Total,Male,Female
Meadow Lakes,36.9,37.3,36.4
Mekoryuk,46.2,55.2,33.1
Mendeltna,53.4,53.7,
Mentasta Lake,26.7,31.5,19.6
Mertarvik,,,
Metlakatla,38.6,39.3,37.5
Mill Bay,35.4,35.7,34.5
Minto,24.8,27.2,18.6
Moose Creek,29.8,23.3,40.6
Moose Pass,46.5,48.2,46.3
Mosquito Lake,54.7,51,54.8
Mountain Village,22.6,22.8,21.8
Mud Bay,63.9,63.9,
Nabesna,,,
Naknek,32.6,29,40.1
Nanwalek,39.3,47.5,30.5
Napakiak,23,31.1,21.8
Napaskiak,22.5,19.9,29.3
Naukati Bay,58.3,36.9,58.7
Nelchina,39.6,39.4,45.2
Nelson Lagoon,50.4,50,52.5
Nenana,31.8,39.9,29.3
Newhalen,25,18.5,32.8
New Stuyahok,32.9,31.7,33.5
Newtok,31.2,31.5,20.5
Nightmute,33.7,30.8,41.8
Nikiski,35.2,35.6,34.8
Nikolaevsk,47.5,45.1,54.1
Nikolai,36.4,36.3,47.3
Nikolski,14.5,13.3,15.5
Ninilchik,51.3,55.8,43.6
Noatak,25.8,26.4,24.8
Nome,31,32.8,29.8
Nondalton,55,58,46.9
Noorvik,26.7,28.3,24.8
North Lakes,35.6,35.1,36.4
North Pole,28.4,25.5,29.1
Northway,37,49.8,14.7
Nuiqsut,23.5,23.9,21.9
Nulato,37.6,34.8,46.5
Nunam Iqua,21.8,19.9,53.5
Nunapitchuk,21.9,23.4,21.2
Old Harbor,32.8,38.5,28.7
Oscarville,20.5,25.2,18.5
Ouzinkie,54,40.3,56.5
Palmer,31.2,30,33.1
Paxson,,,
Pedro Bay,57.5,,57
Pelican,48.6,51.9,47.6
Perryville,20.3,20.3,20
Petersburg,49.8,50.5,49.6
Petersville,52.1,52.5,41.6
Pilot Point,35,25.5,36.7
Pilot Station,23.4,21.3,27
Pitkas Point,22.4,22.5,22.4
Platinum,23.8,38.5,22.5
Pleasant Valley,46.1,46.5,15.9
Point Baker,,,
Point Hope,24.7,27.5,19.3
Point Lay,23.8,28.3,17.3
Point MacKenzie,45.2,46.3,23.6
Point Possession,,,
Pope-Vannoy Landing,,,
Portage Creek,,,
Port Alexander,57.8,63.5,52
Port Alsworth,33.3,33.4,24
Port Clarence,21.7,21.7,
Port Graham,34.3,22,41.5
Port Heiden,36.3,38.3,30.9
Port Lions,56.8,62.5,56.3
Port Protection,,,
Primrose,35.2,,35.2
Prudhoe Bay,42.7,44.1,40.5
Quinhagak,25.6,27.7,23.6
Rampart,33.4,14.8,33.6
Red Devil,,,
Red Dog Mine,,,
Ridgeway,42.8,48.1,42.5
Ruby,27.8,23,37.3
Russian Mission,24.4,59.7,23.1
St. George,39.2,30.9,39.4
St. Mary's,24.6,26.5,24.5
St. Michael,19.7,20.7,17
St. Paul,44,44.8,35.2
Salamatof,40.6,37.7,48.6
Salcha,50.7,51.8,50
Sand Point,48.3,47.4,48.6
Savoonga,24.8,26.1,23.7
Saxman,48.2,48.5,42.3
Scammon Bay,21.2,21.1,21.4
Selawik,21.9,21.8,22.1
Seldovia,58.3,61.5,55.8
Seldovia Village,53.2,54.4,52.3
Seward,43.8,39.7,45
Shageluk,29.5,37.2,19.5
Shaktoolik,28.4,28.1,28.8
Shishmaref,30.2,30.9,28.8
Shungnak,27.1,27.3,25.8
Silver Springs,55.8,57.5,47.5
Sitka,39.5,38.8,40.4
Skagway,35.8,39.3,35.3
Skwentna,60.1,60.4,26.9
Slana,76.1,,68.7
Sleetmute,27.5,24.5,27.9
Soldotna,37.1,36.2,38
South Lakes,32.8,32.4,33.6
South Naknek,53.5,61.5,45
