City,State,Region,Percentile,Population,Car,Alone,Carpool,Carpool2,Carpool3,Carpool4,Public,Walk,Other,Home
Richmond,Virginia,Southeast,50,1316145,0.7669,0.6906,0.0763,0.0545,0.0131,0.0088,0.0072,0.0218,0.0175,0.1867
Louisville,Kentucky,Southeast,50,1282588,0.8091,0.726,0.083,0.0663,0.0085,0.0083,0.0135,0.0183,0.0214,0.1377
New Orleans,Louisianna,Southeast,50,1264357,0.8171,0.7347,0.0824,0.0604,0.0136,0.0084,0.0161,0.0288,0.0253,0.1128
Salt Lake City,Utah,West,50,1254675,0.7628,0.6556,0.1071,0.0798,0.0143,0.013,0.0159,0.0175,0.0146,0.1892
Hartford,Connecticut,Northeast,50,1215703,0.779,0.7016,0.0774,0.0615,0.0101,0.0058,0.0242,0.019,0.0116,0.1663
Buffalo,New York,Northeast,50,1163462,0.8021,0.7238,0.0784,0.06,0.0101,0.0083,0.0262,0.0267,0.0167,0.1283
Birmingham,Alabama,Southeast,75,1114368,0.858,0.7736,0.0844,0.0626,0.0125,0.0092,0.0047,0.0102,0.0093,0.1178
Grand Rapids,Michigan,Midwest,75,1087068,0.8292,0.7447,0.0845,0.0647,0.014,0.0058,0.0088,0.0212,0.0171,0.1236
Rochester,New York,Northeast,75,1086859,0.8073,0.735,0.0723,0.0556,0.0109,0.0058,0.0114,0.0265,0.0154,0.1394
Tucson,Arizona,Southwest,75,1042393,0.7979,0.7015,0.0964,0.0764,0.0126,0.0074,0.0108,0.0232,0.0218,0.1463
Tulsa,Oklahoma,Southwest,75,1017724,0.8665,0.7764,0.0901,0.0691,0.0139,0.0071,0.0027,0.0124,0.0137,0.1046
Honolulu,Hawaii,West,75,1010100,0.7719,0.6203,0.1516,0.1073,0.0235,0.0208,0.0463,0.0529,0.0371,0.0918
Fresno,California,West,75,1008280,0.8419,0.7299,0.112,0.0583,0.0269,0.0268,0.006,0.016,0.0231,0.113
Worcester,Massachusetts,Northeast,75,975551,0.7925,0.7144,0.0781,0.0589,0.0118,0.0075,0.0114,0.0177,0.0241,0.1543
Omaha,Nebraska,Midwest,75,966688,0.82,0.7391,0.0809,0.0564,0.016,0.0085,0.006,0.0142,0.0137,0.1462
Bridgeport,Connecticut,Northeast,75,958371,0.705,0.6238,0.0812,0.055,0.0154,0.0107,0.06,0.0278,0.014,0.1931
Greenville,South Carolina,Southeast,75,931405,0.8637,0.7831,0.0806,0.0613,0.0149,0.0044,0.0033,0.0124,0.0125,0.1081
Albuquerque,New Mexico,Southwest,75,915968,0.8098,0.7077,0.1021,0.0773,0.0174,0.0074,0.0102,0.0148,0.02,0.1452
Bakersfield,California,West,75,906883,0.9045,0.7838,0.1207,0.085,0.023,0.0126,0.0032,0.0098,0.0131,0.0694
Albany,New York,Northeast,75,901729,0.7827,0.7071,0.0755,0.0617,0.0074,0.0064,0.0254,0.03,0.0126,0.1492
Knoxville,Tennesse,Southeast,75,884359,0.8429,0.7718,0.0711,0.0537,0.0122,0.0052,0.0019,0.0137,0.0113,0.1302
McAllen,Texas,Southwest,75,873167,0.8441,0.7444,0.0997,0.0719,0.0148,0.013,0.0023,0.0155,0.0477,0.0904
Baton Rouge,Louisianna,Southeast,75,869755,0.8887,0.7929,0.0958,0.0739,0.0152,0.0067,0.0057,0.0227,0.0075,0.0753
El Paso,Texas,Southwest,75,867161,0.8804,0.7566,0.1238,0.0872,0.0194,0.0172,0.0047,0.0158,0.0125,0.0866
New Haven,Connecticut,Northeast,75,866377,0.7808,0.7029,0.0779,0.0545,0.0144,0.009,0.032,0.0386,0.0168,0.1317
Allentown,Pennsylvania,Northeast,75,863166,0.8243,0.7436,0.0807,0.0651,0.0084,0.0072,0.0158,0.0167,0.0201,0.1231
North Port,Florida,Southeast,75,844461,0.7882,0.7001,0.0881,0.0681,0.0135,0.0065,0.0016,0.0149,0.0215,0.1738
Oxnard,California,West,75,842009,0.8068,0.6961,0.1107,0.0758,0.0203,0.0146,0.0072,0.0174,0.0146,0.1541
Columbia,South Carolina,Southeast,75,831913,0.8362,0.7536,0.0826,0.0618,0.0124,0.0085,0.006,0.0208,0.0205,0.1165
Dayton,Ohio,Midwest,75,812506,0.8342,0.7555,0.0787,0.0586,0.0129,0.0072,0.0087,0.0214,0.0134,0.1223
Charleston,South Carolina,Southeast,75,803398,0.8094,0.7199,0.0896,0.065,0.0126,0.012,0.0062,0.0243,0.0153,0.1448
Stockton,California,West,100,779445,0.8571,0.7078,0.1493,0.1006,0.0273,0.0214,0.0087,0.0104,0.0145,0.1092
Greensboro,North Carolina,Southeast,100,775169,0.8425,0.7525,0.09,0.0671,0.0165,0.0064,0.0025,0.0147,0.0175,0.1228
Cape Coral,Florida,Southeast,100,772902,0.816,0.707,0.109,0.0817,0.0175,0.0098,0.0056,0.0111,0.0154,0.1519
Boise City,Idaho,West,100,771602,0.7839,0.7035,0.0803,0.0606,0.0117,0.008,0.0047,0.019,0.0229,0.1695
Colorado Springs,Colorado,West,100,755081,0.7659,0.6836,0.0823,0.0597,0.0169,0.0057,0.0034,0.0379,0.017,0.1759
Little Rock,Arkansas,Southeast,100,749290,0.867,0.7992,0.0678,0.0526,0.0077,0.0075,0.0041,0.0129,0.0129,0.1032
Lakeland,Florida,Southeast,100,736229,0.844,0.7706,0.0733,0.0544,0.0093,0.0097,0.0033,0.0095,0.0212,0.1221
Des Moines,Iowa,Midwest,100,711490,0.8131,0.7403,0.0728,0.0485,0.0122,0.012,0.0044,0.0159,0.0121,0.1545
Akron,Ohio,Midwest,100,700578,0.8128,0.7408,0.0721,0.0608,0.0083,0.0029,0.0057,0.0152,0.0122,0.1541
Poughkeepsie,New York,Northeast,100,697704,0.7648,0.6786,0.0862,0.0693,0.0077,0.0092,0.0432,0.0368,0.0191,0.1362
Ogden,Utah,West,100,696650,0.7858,0.6894,0.0963,0.0615,0.0217,0.0131,0.0112,0.011,0.0105,0.1815
Springfield,Massachusetts,Northeast,100,689486,0.813,0.7204,0.0926,0.0777,0.0087,0.0062,0.0155,0.0361,0.0166,0.1188
Madison,Wisconsin,Midwest,100,678995,0.7154,0.6465,0.069,0.0504,0.0139,0.0047,0.0238,0.0445,0.0237,0.1925
Winston-Salem,North Carolina,Southeast,100,678243,0.859,0.7655,0.0936,0.0699,0.0177,0.006,0.0038,0.0084,0.0074,0.1213
Provo,Utah,West,100,677964,0.7541,0.66,0.0941,0.0736,0.0137,0.0068,0.014,0.0243,0.0146,0.193
Deltona,Florida,Southeast,100,676035,0.8082,0.7131,0.0951,0.0762,0.0149,0.0041,0.0056,0.0097,0.0138,0.1627
Syracuse,New York,Northeast,100,658694,0.8041,0.7272,0.077,0.0611,0.0094,0.0065,0.0186,0.0409,0.0169,0.1194
Durham,North Carolina,Southeast,100,648066,0.7177,0.6488,0.069,0.0526,0.0075,0.0089,0.0161,0.027,0.0228,0.2164
Wichita,Kansas,Midwest,100,646794,0.8867,0.7968,0.09,0.0644,0.0165,0.009,0.0052,0.0117,0.017,0.0794
Toledo,Ohio,Midwest,100,644547,0.8919,0.8018,0.0901,0.0691,0.0127,0.0083,0.0036,0.0172,0.0092,0.0781
Augusta,Georgia,Southeast,100,612898,0.8522,0.786,0.0662,0.0519,0.0093,0.0049,0.0086,0.0147,0.0252,0.0993
Palm Bay,Florida,Southeast,100,610723,0.7915,0.7215,0.0699,0.0602,0.0079,0.0018,0.0093,0.0112,0.0247,0.1634
Harrisburg,Pennsylvania,Northeast,100,593318,0.7654,0.7024,0.063,0.0485,0.0101,0.0043,0.007,0.0358,0.0205,0.1714
Jackson,Mississippi,Southeast,100,591397,0.8952,0.782,0.1132,0.0828,0.0212,0.0092,0.0025,0.0159,0.014,0.0723
Spokane,Washington,West,100,585485,0.777,0.699,0.078,0.063,0.0008,0.0006,0.016,0.03,0.018,0.159
